epoch,combined_denoising_loss,loss,psnr_metric,ssim_metric,val_combined_denoising_loss,val_loss,val_psnr_metric,val_ssim_metric,learning_rate
62,0.0080,0.0077,39.7139,0.9914,0.0081,0.0078,39.5761,0.9913,1.0000e-04
63,0.0080,0.0076,39.7225,0.9914,0.0079,0.0076,39.8226,0.9914,1.0000e-04
64,0.0080,0.0076,39.7385,0.9914,0.0079,0.0076,39.7657,0.9915,1.0000e-04
65,0.0080,0.0076,39.7518,0.9914,0.0082,0.0078,39.5767,0.9910,1.0000e-04
66,0.0079,0.0076,39.7630,0.9914,0.0079,0.0076,39.8098,0.9915,1.0000e-04
67,0.0079,0.0076,39.7770,0.9914,0.0078,0.0075,39.8527,0.9916,1.0000e-04
68,0.0079,0.0076,39.7897,0.9915,0.0078,0.0075,39.9099,0.9916,1.0000e-04
69,0.0079,0.0076,39.8038,0.9915,0.0078,0.0075,39.8830,0.9917,1.0000e-04
70,0.0079,0.0076,39.8187,0.9915,0.0079,0.0076,39.8232,0.9916,1.0000e-04
71,0.0079,0.0075,39.8330,0.9915,0.0077,0.0074,39.9495,0.9917,1.0000e-04
72,0.0079,0.0075,39.8483,0.9916,0.0078,0.0074,39.9350,0.9917,1.0000e-04
73,0.0078,0.0075,39.8585,0.9916,0.0078,0.0075,39.8664,0.9916,1.0000e-04
74,0.0078,0.0075,39.8673,0.9916,0.0079,0.0076,39.8261,0.9916,1.0000e-04
75,0.0078,0.0075,39.8750,0.9916,0.0078,0.0075,39.8664,0.9917,1.0000e-04
76,0.0078,0.0075,39.8911,0.9916,0.0078,0.0075,39.9290,0.9918,1.0000e-04
77,0.0078,0.0075,39.8981,0.9917,0.0078,0.0074,39.9707,0.9917,1.0000e-04
78,0.0078,0.0075,39.9083,0.9917,0.0077,0.0074,39.9909,0.9918,1.0000e-04
79,0.0078,0.0075,39.9163,0.9917,0.0077,0.0073,40.0272,0.9919,1.0000e-04
80,0.0078,0.0075,39.9302,0.9917,0.0078,0.0075,39.8746,0.9916,1.0000e-04
81,0.0078,0.0074,39.9355,0.9917,0.0078,0.0075,39.9421,0.9918,1.0000e-04
82,0.0078,0.0074,39.9456,0.9917,0.0084,0.0082,39.2434,0.9913,1.0000e-04
83,0.0077,0.0074,39.9546,0.9917,0.0077,0.0074,40.0051,0.9917,1.0000e-04
84,0.0077,0.0074,39.9613,0.9918,0.0077,0.0074,39.9695,0.9919,1.0000e-04
85,0.0077,0.0074,39.9739,0.9918,0.0076,0.0073,40.0230,0.9919,1.0000e-04
86,0.0077,0.0074,39.9782,0.9918,0.0079,0.0076,39.8295,0.9917,1.0000e-04
87,0.0077,0.0074,39.9917,0.9918,0.0077,0.0073,40.0340,0.9919,1.0000e-04
88,0.0077,0.0074,39.9948,0.9918,0.0076,0.0073,40.0653,0.9919,1.0000e-04
89,0.0077,0.0074,40.0052,0.9918,0.0078,0.0075,39.9126,0.9919,1.0000e-04
90,0.0077,0.0074,40.0113,0.9918,0.0076,0.0072,40.1513,0.9918,1.0000e-04
91,0.0077,0.0074,40.0187,0.9918,0.0076,0.0073,40.0578,0.9919,1.0000e-04
92,0.0077,0.0074,40.0292,0.9918,0.0079,0.0076,39.7239,0.9917,1.0000e-04
93,0.0077,0.0074,40.0358,0.9919,0.0077,0.0075,39.9091,0.9919,1.0000e-04
94,0.0077,0.0074,40.0409,0.9919,0.0079,0.0076,39.8104,0.9916,1.0000e-04
95,0.0077,0.0073,40.0510,0.9919,0.0076,0.0073,40.0740,0.9919,1.0000e-04
96,0.0076,0.0073,40.0558,0.9919,0.0075,0.0072,40.1405,0.9920,1.0000e-04
97,0.0076,0.0073,40.0637,0.9919,0.0085,0.0081,39.3673,0.9905,1.0000e-04
98,0.0076,0.0073,40.0725,0.9919,0.0076,0.0073,40.0584,0.9920,1.0000e-04
99,0.0076,0.0073,40.0693,0.9919,0.0076,0.0073,40.1349,0.9919,1.0000e-04
100,0.0076,0.0073,40.0832,0.9919,0.0082,0.0081,39.4209,0.9918,1.0000e-04
101,0.0076,0.0073,40.0902,0.9919,0.0075,0.0072,40.1496,0.9920,1.0000e-04
102,0.0076,0.0073,40.0968,0.9919,0.0075,0.0072,40.1437,0.9921,1.0000e-04
103,0.0076,0.0073,40.1004,0.9919,0.0077,0.0073,40.0465,0.9917,1.0000e-04
104,0.0076,0.0073,40.1110,0.9920,0.0076,0.0072,40.1797,0.9918,1.0000e-04
105,0.0076,0.0073,40.1145,0.9920,0.0076,0.0073,40.1173,0.9920,1.0000e-04
106,0.0076,0.0073,40.1202,0.9920,0.0075,0.0072,40.1997,0.9921,1.0000e-04
107,0.0076,0.0073,40.1263,0.9920,0.0075,0.0072,40.1789,0.9921,1.0000e-04
108,0.0076,0.0073,40.1374,0.9920,0.0077,0.0074,39.9290,0.9919,1.0000e-04
109,0.0076,0.0073,40.1420,0.9920,0.0076,0.0073,40.1718,0.9920,1.0000e-04
110,0.0076,0.0073,40.1466,0.9920,0.0076,0.0073,40.1390,0.9920,1.0000e-04
111,0.0076,0.0072,40.1476,0.9920,0.0076,0.0073,40.1199,0.9919,1.0000e-04
112,0.0075,0.0072,40.1595,0.9920,0.0074,0.0071,40.2458,0.9921,1.0000e-04
113,0.0075,0.0072,40.1627,0.9920,0.0076,0.0073,40.0783,0.9919,1.0000e-04
114,0.0075,0.0072,40.1693,0.9920,0.0075,0.0072,40.1797,0.9921,1.0000e-04
115,0.0075,0.0072,40.1744,0.9921,0.0075,0.0072,40.2131,0.9922,1.0000e-04
116,0.0075,0.0072,40.1795,0.9921,0.0076,0.0073,40.1188,0.9920,1.0000e-04
117,0.0075,0.0072,40.1835,0.9921,0.0074,0.0071,40.2835,0.9922,1.0000e-04
118,0.0075,0.0072,40.1889,0.9921,0.0075,0.0072,40.2018,0.9919,1.0000e-04
119,0.0075,0.0072,40.1922,0.9921,0.0074,0.0071,40.2907,0.9922,1.0000e-04
120,0.0075,0.0072,40.1977,0.9921,0.0075,0.0072,40.2085,0.9921,1.0000e-04
121,0.0075,0.0072,40.2033,0.9921,0.0077,0.0073,40.0290,0.9915,1.0000e-04
122,0.0075,0.0072,40.2081,0.9921,0.0075,0.0072,40.2230,0.9919,1.0000e-04
123,0.0075,0.0072,40.2154,0.9921,0.0075,0.0072,40.2011,0.9920,1.0000e-04
124,0.0075,0.0072,40.2215,0.9921,0.0076,0.0073,40.0900,0.9921,1.0000e-04
125,0.0075,0.0072,40.2236,0.9921,0.0074,0.0072,40.2227,0.9922,1.0000e-04
126,0.0075,0.0072,40.2283,0.9921,0.0075,0.0072,40.1548,0.9920,1.0000e-04
127,0.0075,0.0072,40.2335,0.9921,0.0074,0.0071,40.2367,0.9922,1.0000e-04
128,0.0075,0.0072,40.2416,0.9921,0.0074,0.0071,40.2933,0.9922,1.0000e-04
129,0.0075,0.0072,40.2435,0.9921,0.0075,0.0072,40.2206,0.9920,1.0000e-04
130,0.0075,0.0072,40.2475,0.9921,0.0074,0.0071,40.2822,0.9923,1.0000e-04
131,0.0074,0.0071,40.2528,0.9921,0.0073,0.0070,40.3705,0.9923,1.0000e-04
132,0.0074,0.0071,40.2580,0.9922,0.0075,0.0072,40.2330,0.9919,1.0000e-04
133,0.0074,0.0071,40.2623,0.9922,0.0073,0.0071,40.3382,0.9923,1.0000e-04
134,0.0074,0.0071,40.2668,0.9922,0.0074,0.0071,40.2737,0.9921,1.0000e-04
135,0.0074,0.0071,40.2736,0.9922,0.0076,0.0074,40.0624,0.9923,1.0000e-04
136,0.0074,0.0071,40.2776,0.9922,0.0075,0.0071,40.2786,0.9919,1.0000e-04
137,0.0074,0.0071,40.2830,0.9922,0.0074,0.0071,40.3535,0.9922,1.0000e-04
138,0.0074,0.0071,40.2908,0.9922,0.0073,0.0070,40.4173,0.9924,1.0000e-04
139,0.0074,0.0071,40.2955,0.9922,0.0073,0.0070,40.4010,0.9923,1.0000e-04
140,0.0074,0.0071,40.3010,0.9922,0.0076,0.0074,39.9882,0.9922,1.0000e-04
141,0.0074,0.0071,40.3089,0.9922,0.0074,0.0071,40.3032,0.9923,1.0000e-04
142,0.0074,0.0071,40.3141,0.9922,0.0074,0.0071,40.2828,0.9922,1.0000e-04
143,0.0074,0.0071,40.3216,0.9922,0.0073,0.0070,40.4072,0.9923,1.0000e-04
144,0.0074,0.0071,40.3302,0.9922,0.0074,0.0071,40.3330,0.9922,1.0000e-04
145,0.0074,0.0071,40.3342,0.9922,0.0073,0.0070,40.3839,0.9923,1.0000e-04
146,0.0074,0.0071,40.3410,0.9923,0.0073,0.0070,40.4333,0.9923,1.0000e-04
147,0.0074,0.0071,40.3449,0.9923,0.0073,0.0070,40.4190,0.9923,1.0000e-04
148,0.0074,0.0071,40.3530,0.9923,0.0075,0.0071,40.2638,0.9919,1.0000e-04
149,0.0073,0.0071,40.3612,0.9923,0.0073,0.0070,40.4168,0.9924,1.0000e-04
150,0.0073,0.0070,40.3703,0.9923,0.0072,0.0069,40.4772,0.9923,1.0000e-04
151,0.0073,0.0070,40.3718,0.9923,0.0073,0.0070,40.4154,0.9924,1.0000e-04
152,0.0073,0.0070,40.3751,0.9923,0.0073,0.0070,40.4491,0.9924,1.0000e-04
153,0.0073,0.0070,40.3810,0.9923,0.0073,0.0070,40.3558,0.9922,1.0000e-04
154,0.0073,0.0070,40.3884,0.9923,0.0072,0.0070,40.4617,0.9924,1.0000e-04
155,0.0073,0.0070,40.3899,0.9923,0.0074,0.0071,40.2894,0.9925,1.0000e-04
156,0.0073,0.0070,40.4013,0.9923,0.0073,0.0070,40.3776,0.9924,1.0000e-04
157,0.0073,0.0070,40.4016,0.9923,0.0076,0.0073,40.1801,0.9915,1.0000e-04
158,0.0073,0.0070,40.4105,0.9924,0.0075,0.0072,40.2708,0.9920,1.0000e-04
159,0.0073,0.0070,40.4122,0.9924,0.0072,0.0069,40.4901,0.9923,1.0000e-04
160,0.0073,0.0070,40.4144,0.9924,0.0073,0.0070,40.4339,0.9921,1.0000e-04
161,0.0073,0.0070,40.4255,0.9924,0.0072,0.0069,40.5312,0.9925,1.0000e-04
162,0.0073,0.0070,40.4274,0.9924,0.0072,0.0069,40.5181,0.9925,1.0000e-04
163,0.0073,0.0070,40.4335,0.9924,0.0072,0.0069,40.5036,0.9924,1.0000e-04
164,0.0073,0.0070,40.4349,0.9924,0.0072,0.0069,40.5510,0.9924,1.0000e-04
165,0.0073,0.0070,40.4404,0.9924,0.0077,0.0075,39.9621,0.9923,1.0000e-04
166,0.0073,0.0070,40.4484,0.9924,0.0073,0.0070,40.4366,0.9924,1.0000e-04
167,0.0073,0.0070,40.4506,0.9924,0.0072,0.0069,40.5196,0.9923,1.0000e-04
168,0.0073,0.0070,40.4565,0.9924,0.0072,0.0070,40.4447,0.9925,1.0000e-04
169,0.0073,0.0070,40.4558,0.9924,0.0075,0.0072,40.2118,0.9921,1.0000e-04
170,0.0072,0.0070,40.4648,0.9924,0.0072,0.0069,40.5321,0.9925,1.0000e-04
171,0.0072,0.0070,40.4673,0.9924,0.0072,0.0069,40.5672,0.9925,1.0000e-04
172,0.0072,0.0070,40.4674,0.9924,0.0073,0.0070,40.4167,0.9923,1.0000e-04
173,0.0072,0.0070,40.4727,0.9925,0.0072,0.0069,40.5633,0.9925,1.0000e-04
174,0.0072,0.0070,40.4755,0.9925,0.0074,0.0071,40.2980,0.9922,1.0000e-04
175,0.0072,0.0069,40.4803,0.9925,0.0072,0.0069,40.5331,0.9925,1.0000e-04
176,0.0072,0.0069,40.4837,0.9925,0.0072,0.0069,40.5081,0.9926,1.0000e-04
177,0.0072,0.0069,40.4900,0.9925,0.0072,0.0069,40.5656,0.9924,1.0000e-04
178,0.0072,0.0069,40.4948,0.9925,0.0072,0.0069,40.5146,0.9926,1.0000e-04
179,0.0072,0.0069,40.4970,0.9925,0.0072,0.0069,40.4902,0.9926,1.0000e-04
180,0.0072,0.0069,40.5026,0.9925,0.0072,0.0070,40.4416,0.9925,1.0000e-04
181,0.0072,0.0069,40.5058,0.9925,0.0073,0.0070,40.4755,0.9925,1.0000e-04
182,0.0072,0.0069,40.5111,0.9925,0.0071,0.0068,40.6055,0.9927,1.0000e-04
183,0.0072,0.0069,40.5146,0.9925,0.0072,0.0069,40.5364,0.9924,1.0000e-04
